"","1","2","3","NA","Alcohol_Related_N","Alcohol_Related_Y","DV_Related_N","DV_Related_Y","Assaults"
"2007/2/26",4,20,0,48,49,23,42,30,72
"2007/2/27",12,28,0,40,59,21,46,34,80
"2007/2/28",8,30,0,58,65,31,60,36,96
"2007/2/3",11,38,0,63,50,62,67,45,112
"2007/2/4",11,44,0,96,79,72,86,65,151
"2007/2/5",6,26,0,59,68,23,49,42,91
"2007/2/6",5,32,1,62,73,27,60,40,100
"2007/2/7",6,20,0,46,55,17,45,27,72
"2007/2/8",3,25,0,57,57,28,54,31,85
"2007/2/9",7,35,1,86,82,47,85,44,129
"2007/3/1",11,27,0,50,60,28,46,42,88
"2007/3/10",11,33,0,78,54,68,85,37,122
"2007/3/11",19,40,0,71,60,70,78,52,130
"2007/3/12",7,23,0,45,58,17,42,33,75
"2007/3/13",5,20,1,43,55,14,52,17,69
"2007/3/14",7,24,0,57,71,17,55,33,88
"2007/3/15",6,22,0,51,60,19,55,24,79
"2007/3/16",11,39,0,67,78,39,77,40,117
"2007/3/17",8,38,0,79,56,69,88,37,125
"2007/3/18",7,57,0,87,86,65,92,59,151
"2007/3/19",9,37,0,59,79,26,55,50,105
"2007/3/2",6,44,0,66,71,45,87,29,116
"2007/3/20",4,23,0,63,69,21,55,35,90
"2007/3/21",3,38,0,70,79,32,65,46,111
"2007/3/22",6,35,0,49,55,35,61,29,90
"2007/3/23",5,44,0,71,69,51,74,46,120
"2007/3/24",6,57,0,76,57,82,82,57,139
"2007/3/25",4,39,0,61,60,44,57,47,104
