date,Receiver,n,prop,rec
0014-04-15,2,3973,0.833263422818792,190
0014-04-15,4,1099,0.23049496644295303,320
0014-04-15,5,2,4.1946308724832214e-4,420
0014-04-16,3,1627,0.3412332214765101,200
0014-04-16,1,2317,0.4859479865771812,0
0014-04-16,2,2676,0.5612416107382551,190
0014-04-16,4,221,0.046350671140939596,320
0014-04-16,5,2,4.1946308724832214e-4,420
0014-04-17,3,1433,0.30054530201342283,200
0014-04-17,1,2273,0.47671979865771813,0
0014-04-17,2,1835,0.3848573825503356,190
0014-04-17,4,168,0.03523489932885906,320
0014-04-17,5,3,6.291946308724832e-4,420
0014-04-18,3,2493,0.5228607382550335,200
0014-04-18,1,2664,0.5587248322147651,0
0014-04-18,2,2754,0.5776006711409396,190
0014-04-18,4,676,0.1417785234899329,320
0014-04-19,3,2341,0.4909815436241611,200
0014-04-19,1,2367,0.49643456375838924,0
0014-04-19,2,2857,0.5992030201342282,190
0014-04-19,4,883,0.18519295302013422,320
0014-04-20,3,2568,0.5385906040268457,200
0014-04-20,1,2012,0.42197986577181207,0
0014-04-20,2,2845,0.5966862416107382,190
0014-04-20,4,956,0.200503355704698,320
0014-04-20,5,6,0.0012583892617449664,420
0014-04-21,3,2323,0.4872063758389262,200
0014-04-21,1,1697,0.35591442953020136,0
0014-04-21,2,2665,0.5589345637583892,190
0014-04-21,4,275,0.05767617449664429,320
0014-04-21,5,4,8.389261744966443e-4,420
0014-04-22,3,1777,0.3726929530201342,200
0014-04-22,1,2043,0.4284815436241611,0
0014-04-22,2,2342,0.4911912751677852,190
0014-04-22,4,466,0.09773489932885907,320
0014-04-22,5,5,0.0010486577181208054,420
0014-04-23,3,830,0.17407718120805368,200
0014-04-23,1,1903,0.3991191275167785,0
0014-04-23,2,1745,0.3659815436241611,190
0014-04-23,4,33,0.006921140939597316,320
0014-04-23,5,17,0.0035654362416107383,420
0014-04-24,3,2343,0.4914010067114094,200
0014-04-24,1,1454,0.3049496644295302,0
0014-04-24,2,2678,0.5616610738255033,190
0014-04-24,4,459,0.09626677852348993,320
0014-04-25,3,2009,0.4213506711409396,200
0014-04-25,1,1433,0.30054530201342283,0
0014-04-25,2,2687,0.5635486577181208,190
0014-04-25,4,183,0.03838087248322147,320
0014-04-26,3,1168,0.24496644295302014,200
0014-04-26,1,982,0.20595637583892618,0
0014-04-26,2,1513,0.3173238255033557,190
0014-04-26,4,205,0.04299496644295302,320
0014-04-27,3,2787,0.5845218120805369,200
0014-04-27,1,934,0.19588926174496643,0
0014-04-27,2,3228,0.677013422818792,190
0014-04-27,4,296,0.06208053691275168,320
0014-04-28,3,1387,0.2908976510067114,200
0014-04-28,1,889,0.1864513422818792,0
0014-04-28,2,1846,0.38716442953020136,190
0014-04-28,4,367,0.07697147651006711,320
0014-04-28,5,1,2.0973154362416107e-4,420
0014-04-29,3,1567,0.3286493288590604,200
0014-04-29,1,1064,0.2231543624161074,0
0014-04-29,2,2119,0.44442114093959734,190
0014-04-29,4,222,0.04656040268456376,320
0014-04-30,3,1712,0.35906040268456374,200
0014-04-30,1,673,0.1411493288590604,0
0014-04-30,2,2358,0.4945469798657718,190
0014-04-30,4,127,0.026635906040268456,320
0014-05-01,3,595,0.12479026845637584,200
0014-05-01,1,106,0.022231543624161073,0
0014-05-01,2,909,0.1906459731543624,190
0014-05-01,4,2,4.1946308724832214e-4,320
